2025-04-03 01:03:20,471 [DEBUG] Scanner:251 - 探测任务被取消: http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001022/index.m3u8
025-04-03 01:03:06,482 [INFO] Main:111 - 加载Scanner配置: address=http://192.168.50.1:20231/rtp/239.21.1.[1-20]:5002, timeout=25, threads=20
2025-04-03 01:03:07,030 [ERROR] Main:1351 - 恢复分隔条位置失败: 'MainWindow' object has no attribute 'config_file'
2025-04-03 01:03:20,404 [INFO] Main:1018 - 正在验证频道: CCTV1 - http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001022/index.m3u8
2025-04-03 01:04:43,077 [INFO] Main:1321 - 保存分隔条位置: left=[311, 379], right=[463, 216]
2025-04-03 01:04:43,089 [INFO] Main:1321 - 保存分隔条位置: left=[311, 379], right=[463, 216]
2025-04-03 01:04:43,091 [INFO] Main:1321 - 保存分隔条位置: left=[312, 378], right=[463, 216]
2025-04-03 01:04:48,971 [INFO] Main:1321 - 保存分隔条位置: left=[310, 380], right=[463, 216]
2025-04-03 01:04:48,986 [INFO] Main:1321 - 保存分隔条位置: left=[312, 378], right=[463, 216]
2025-04-03 01:04:48,999 [INFO] Main:1321 - 保存分隔条位置: left=[313, 377], right=[463, 216]
2025-04-03 01:04:49,011 [INFO] Main:1321 - 保存分隔条位置: left=[315, 375], right=[463, 216]
2025-04-03 01:04:49,022 [INFO] Main:1321 - 保存分隔条位置: left=[318, 372], right=[463, 216]
2025-04-03 01:04:49,035 [INFO] Main:1321 - 保存分隔条位置: left=[321, 369], right=[463, 216]
2025-04-03 01:04:49,046 [INFO] Main:1321 - 保存分隔条位置: left=[323, 367], right=[463, 216]
2025-04-03 01:04:49,058 [INFO] Main:1321 - 保存分隔条位置: left=[326, 364], right=[463, 216]
2025-04-03 01:04:49,067 [INFO] Main:1321 - 保存分隔条位置: left=[333, 357], right=[463, 216]
2025-04-03 01:04:49,079 [INFO] Main:1321 - 保存分隔条位置: left=[336, 354], right=[463, 216]
2025-04-03 01:04:49,090 [INFO] Main:1321 - 保存分隔条位置: left=[339, 351], right=[463, 216]
2025-04-03 01:04:49,101 [INFO] Main:1321 - 保存分隔条位置: left=[344, 346], right=[463, 216]
2025-04-03 01:04:49,113 [INFO] Main:1321 - 保存分隔条位置: left=[345, 345], right=[463, 216]
2025-04-03 01:04:49,125 [INFO] Main:1321 - 保存分隔条位置: left=[349, 341], right=[463, 216]
2025-04-03 01:04:49,136 [INFO] Main:1321 - 保存分隔条位置: left=[349, 341], right=[463, 216]
2025-04-03 01:04:49,138 [INFO] Main:1321 - 保存分隔条位置: left=[350, 340], right=[463, 216]
2025-04-03 01:04:49,140 [INFO] Main:1321 - 保存分隔条位置: left=[351, 339], right=[463, 216]
2025-04-03 01:04:49,150 [INFO] Main:1321 - 保存分隔条位置: left=[352, 338], right=[463, 216]
